Variable,Description
q11_3,When would you have liked this appointment to be - A few days later
q11_4,When would you have liked this appointment to be  - A week or more later
q11_5,When would you have liked this appointment to be  - I didn't have a specific day in mind
q11_6,When would you have liked this appointment to be  - Can't remember
Q101base,How did you try to book the appointment - Total responses
Q101_1,How did you try to book the appointment - In person
Q101_2,"How did you try to book the appointment - By phone, through my practice"
Q101_3,How did you try to book the appointment - By automated telephone booking
Q101_4,"How did you try to book the appointment - Online, including on a website or through an app"
Q101_5,How did you try to book the appointment - In another way
Q102base,Were you asked for any information about your reasons for making the appointment - Total responses
Q102_123456base,Were you asked for any information about your reasons for making the appointment - Base for summary result - Total responses excluding 'Don’t know / can’t remember'
Q102_1,"Were you asked for any information about your reasons for making the appointment - Yes, during a phone call with a receptionist"
Q102_2,"Were you asked for any information about your reasons for making the appointment - Yes, during a phone call with a healthcare professional"
Q102_3,"Were you asked for any information about your reasons for making the appointment - Yes, in an online form"
Q102_4,"Were you asked for any information about your reasons for making the appointment - Yes, by email"
Q102_5,"Were you asked for any information about your reasons for making the appointment - Yes, during a phone call with someone else / not sure who I spoke to"
Q102_6,Were you asked for any information about your reasons for making the appointment - I was not asked for information
Q102_7,Were you asked for any information about your reasons for making the appointment - Don’t know / can’t remember
Q102_12345,"Were you asked for any information about your reasons for making the appointment  - Summary result - Yes (Combined 'Yes' answer codes 1, 2, 3, 4 and 5, to be used with base excluding 'Don’t know / can’t remember')"
Q103base,Whether offered a choice of appointment - Total responses
Q103_12345base,Whether offered a choice of appointment - Base for summary result - Total responses excluding 'can't remember' and 'I did not need a choice'
Q103_1,"Whether offered a choice of appointment- Yes, a choice of place (for an appointment in person)"
Q103_2,"Whether offered a choice of appointment - Yes, a choice of time or day"
Q103_3,"Whether offered a choice of appointment - Yes, a choice of healthcare professional"
Q103_4,"Whether offered a choice of appointment - Yes, a choice of type of appointment (phone call, online, video call, in person)"
Q103_5,Whether offered a choice of appointment - None of these
Q103_6,Whether offered a choice of appointment - Can’t remember
Q103_7,Whether offered a choice of appointment -  I did not need a choice
Q103_1234,"Whether offered a choice of appointment- Summary result - Yes (Combined 'yes' answer codes 1, 2, 3 and 4), to be used with base excluding 'can't remember' and 'I did not need a choice')"
Q104base,Satisfaction with type of appointment offered - Total responses
Q104_123base,Satisfaction with type of appointment offered - Base for summary result - Total responses excluding ' I was not offered an appointment'
Q104_1,"Satisfaction with type of appointment offered - Yes, and I accepted an appointment"
Q104_2,"Satisfaction with type of appointment offered - No, but I still took an appointment"
Q104_3,"Satisfaction with type of appointment offered - No, and I did not take an appointment"
Q104_4,Satisfaction with type of appointment offered - I was not offered an appointment
Q104_12,"Satisfaction with type of appointment offered - Summary result - Accepted appointment (Combined 'yes, and I accepted an appointment' and 'no, but I still took an appointment' responses, to be used with base excluding ' I was not offered an appointment')"
Q105base,Reason for not taking appointments offered - Total responses
Q105_1,Reason for not taking appointments offered - There weren't any appointments available for the time or day I wanted
Q105_2,Reason for not taking appointments offered - The appointment was at too short notice
Q105_3,Reason for not taking appointments offered - The appointment wasn’t soon enough
Q105_4,Reason for not taking appointments offered - I couldn’t book ahead at my GP practice
Q105_5,Reason for not taking appointments offered - There weren’t any appointments at the place I wanted
Q105_6,Reason for not taking appointments offered - The appointment was too far away / too difficult to get to
Q105_7,Reason for not taking appointments offered - I couldn’t see my preferred GP
Q105_8,Reason for not taking appointments offered - There weren’t any appointments with the healthcare professional I wanted
Q105_9,Reason for not taking appointments offered - The type of appointment I wanted was not available
Q105_10,Reason for not taking appointments offered - I was not offered an appointment
Q105_11,Reason for not taking appointments offered - My practice helped in another way
Q105_12,Reason for not taking appointments offered - Another reason
Q106base,Action after not accepting appointment offered - Total responses
Q106_13base,Action after not accepting appointment offered - Total online responses only - Base for 'Looked for information online' code only
Q106_1,Action after not accepting appointment offered - Got an appointment for a different day
Q106_2,"Action after not accepting appointment offered - Called an NHS helpline, such as NHS 111"
Q106_3,Action after not accepting appointment offered - Used an online NHS service (including NHS 111 online)
Q106_4,"Action after not accepting appointment offered - Used a non-NHS online service, or looked online for information"
Q106_5,Action after not accepting appointment offered - Went to A&E
Q106_6,Action after not accepting appointment offered - Spoke to a pharmacist
Q106_7,Action after not accepting appointment offered - Contacted or used another NHS service
Q106_8,Action after not accepting appointment offered - Contacted or used another non-NHS service
Q106_9,Action after not accepting appointment offered - Decided to contact my practice another time
Q106_13,Action after not accepting appointment offered - Looked for information online (asked of online respondents only)
Q106_10,Action after not accepting appointment offered - Spoke to a friend or family member
Q106_11,Action after not accepting appointment offered - My practice helped in another way
Q106_12,Action after not accepting appointment offered - Didn’t see or speak to anyone
Q106_Online,"Action after not accepting appointment offered - Summary result - Used an online service or looked for information online (Combined online answer codes 3, 4 and 13), to be used with total base."
Q13_NEWbase,What type of appointment did you get - Total responses
Q13_NEW_1,What type of appointment did you get - To speak to someone on the phone
Q13_NEW_2,What type of appointment did you get - To see someone at my GP practice
Q13_NEW_3,What type of appointment did you get - To see someone at another general practice location
Q13_NEW_4,"What type of appointment did you get - To speak to someone online, for example on a video call"
Q13_NEW_5,What type of appointment did you get - For a home visit
Q13_NEW_14,"What type of appointment did you get - Summary result - Remote appointment (Combined 'to speak to someone on the phone' and 'to speak to someone online, for example on a video call' responses, to be used with total base)"
Q13_NEW_235,"What type of appointment did you get - Summary result - In-person appointment (Combined 'to see someone at my GP practice' and 'to see someone at another general practice location' and 'for a home visit' responses, to be used with total base)"
q14base,How long until the appointment took place - Total responses
q14_1,How long until the appointment took place - On the same day
q14_2,How long until the appointment took place - On the next day
q14_3,How long until the appointment took place - A few days later
q14_4,How long until the appointment took place - A week or more later
q14_5,How long until the appointment took place - Can't remember
Q18base,Overall experience of making an appointment - Total responses
Q18_1,Overall experience of making an appointment - Very good
Q18_2,Overall experience of making an appointment - Fairly good
Q18_3,Overall experience of making an appointment - Neither good nor poor
Q18_4,Overall experience of making an appointment - Fairly poor
Q18_5,Overall experience of making an appointment - Very poor
Q18_12,"Overall experience of making an appointment - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with total base)"
Q83base,When last general practice appointment - Total responses
Q83_1,When last general practice appointment - In the past 3 months
Q83_2,When last general practice appointment - Between 3 and 6 months ago
Q83_3,When last general practice appointment - Between 6 and 12 months ago
Q83_4,When last general practice appointment - More than 12 months ago
Q83_5,When last general practice appointment - I haven’t had an appointment since being registered with my current GP practice
Q83_12,"When last general practice appointment - Summary result - In the past 6 months (Combined 'in the past 3 months' and 'between 3 and 6 months ago' responses, to be used with total base)"
Q107base,What type of appointment was your last general practice appointment - Total responses
Q107_1,What type of appointment was your last general practice appointment - To speak to someone on the phone
Q107_2,What type of appointment was your last general practice appointment - To see someone at my GP practice
Q107_3,What type of appointment was your last general practice appointment - To see someone at another general practice location
Q107_4,What type of appointment was your last general practice appointment - To speak to someone online (for example on a video call)
Q107_5,What type of appointment was your last general practice appointment - For a home visit
Q107_14,"What type of appointment was your last general practice appointment - Summary result - Remote appointment (Combined 'to speak to someone on the phone' and 'to speak to someone online (for example on a video call)' responses, to be used with total base)"
Q107_235,"What type of appointment was your last general practice appointment - Summary result - In-person appointment (Combined 'to see someone at my GP practice' and 'to see someone at another general practice location' and 'for a home visit' responses, to be used with total base)"
Q108base,Were you given a time for the appointment - Total responses
Q108_123base,Were you given a time for the appointment - Base for summary result - Total responses excluding 'can't remember / don't know'
Q108_1,"Were you given a time for the appointment - Yes, I was given a set time"
Q108_2,Were you given a time for the appointment - I was told I would be contacted between two times or during a set period such as a morning or afternoon
Q108_3,"Were you given a time for the appointment - No, I was not given a time"
Q108_4,Were you given a time for the appointment - Can’t remember / don’t know
Q108_12,"Were you given a time for the appointment - Summary result - Yes (Combined answer codes 1 and 2, to be used with base excluding 'can't remember/don't know')"
Q84base,Who last general practice appointment with - Total responses
Q84_1,Who last general practice appointment with - A GP
Q84_2,Who last general practice appointment with - A nurse
Q84_3,Who last general practice appointment with - A general practice pharmacist
Q84_4,Who last general practice appointment with - A mental health professional
Q84_5,Who last general practice appointment with - Another healthcare professional
Q84_6,Who last general practice appointment with - Don’t know / not sure who I saw
Q86abase,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Total responses"
Q86a_12345base,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Base for summary result - Total responses excluding 'doesn't apply'"
Q86a_1,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Very good"
Q86a_2,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Good"
Q86a_3,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Neither good nor poor"
Q86a_4,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Poor"
Q86a_5,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Very poor"
Q86a_6,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Doesn't apply"
Q86a_12,"Last time you had a general practice appointment, how good was the healthcare professional at: Giving you enough time - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q86bbase,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Total responses"
Q86b_12345base,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Base for summary result - Total responses excluding 'doesn't apply'"
Q86b_1,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Very good"
Q86b_2,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Good"
Q86b_3,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Neither good nor poor"
Q86b_4,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Poor"
Q86b_5,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Very poor"
Q86b_6,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Doesn't apply"
Q86b_12,"Last time you had a general practice appointment, how good was the healthcare professional at: Listening to you - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q86ebase,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Total responses"
Q86e_12345base,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Base for summary result - Total responses excluding 'doesn't apply'"
Q86e_1,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Very good"
Q86e_2,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Good"
Q86e_3,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Neither good nor poor"
Q86e_4,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Poor"
Q86e_5,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Very poor"
Q86e_6,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Doesn't apply"
Q86e_12,"Last time you had a general practice appointment, how good was the healthcare professional at: Treating you with care and concern - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with base excluding 'doesn't apply')"
Q87base,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Total responses"
Q87_123base,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs- Base for summary result - Total responses excluding 'I did not have any mental health needs' and 'Did not apply to my last appointment'"
Q87_1,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Yes, definitely"
Q87_2,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Yes, to some extent"
Q87_3,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - No, not at all"
Q87_4,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - I did not have any mental health needs"
Q87_5,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Did not apply to my last appointment"
Q87_12,"During last general practice appointment, healthcare professional recognised and/or understood mental health needs - Summary result - Yes (Combined 'Yes, definitely' and 'Yes, to some extent' responses, to be used with base excluding codes 4 and 5)"
Q88base,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - Total responses"
Q88_123base,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - Base for summary result - Total responses excluding 'don't know / doesn't apply'"
Q88_1,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - Yes, definitely"
Q88_2,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - Yes, to some extent"
Q88_3,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - No, not at all"
Q88_4,"During last general practice appointment, involved as much as they wanted to be in decisions about care and treatment - Don’t know / doesn’t apply"
Q88_12,"During last general practice appointment, involved as much as wanted to be in decisions about care and treatment - Summary result - Yes (Combined 'yes, definitely' and 'yes, to some extent', to be used with base excluding code 4)."
Q89base,"During last general practice appointment, had confidence and trust in healthcare professional - Total responses"
Q89_123base,"During last general practice appointment, had confidence and trust in healthcare professional  - Base for summary result - Total responses excluding 'don't know / can't say'"
Q89_1,"During last general practice appointment, had confidence and trust in healthcare professional  - Yes, definitely"
Q89_2,"During last general practice appointment, had confidence and trust in healthcare professional  - Yes, to some extent"
Q89_3,"During last general practice appointment, had confidence and trust in healthcare professional  - No, not at all"
Q89_4,"During last general practice appointment, had confidence and trust in healthcare professional  - Don’t know / can’t say"
Q89_12,"During last general practice appointment, had confidence and trust in healthcare professional - Summary result - Yes (Combined 'yes, definitely' and 'yes, to some extent' responses, to be used with base excluding 'don't know / can't say')"
Q90base,Needs met at last general practice appointment - Total responses
Q90_123base,Needs met at last general practice appointment - Base for summary result - Total responses excluding 'don’t know/can't say'
Q90_1,"Needs met at last general practice appointment - Yes, definitely"
Q90_2,"Needs met at last general practice appointment - Yes, to some extent"
Q90_3,"Needs met at last general practice appointment - No, not at all"
Q90_4,Needs met at last general practice appointment - Don’t know / can’t say
Q90_12,"Needs met at last general practice appointment - Summary result - Yes (Combined 'yes, definitely' and 'yes, to some extent' responses, to be used with base excluding 'don't know / can't say')"
Q28base,Overall experience of GP practice - Total responses
Q28_1,Overall experience of GP practice - Very good
Q28_2,Overall experience of GP practice - Fairly good
Q28_3,Overall experience of GP practice - Neither good nor poor
Q28_4,Overall experience of GP practice - Fairly poor
Q28_5,Overall experience of GP practice - Very poor
Q28_12,"Overall experience of GP practice - Summary result - Good (Combined 'very good' and 'fairly good' responses, to be used with total base)"
Q91base,Health experiences over the last 12 months - Total responses
Q91_1,"Health experiences over the last 12 months - Problems with your physical mobility, for example, difficulty getting about your home"
Q91_2,Health experiences over the last 12 months - Two or more falls that have needed medical attention
Q91_3,Health experiences over the last 12 months - Feeling isolated from others
Q91_4,Health experiences over the last 12 months - None of these
q30_recoded_base,Long-term health condition - Total responses
q30_recoded_124base,Long-term health condition - Base for summary result - Total responses excluding 'don't know / can't say'
q30_recoded_1,Long-term health condition - Yes
q30_recoded_2,Long-term health condition - No
q30_recoded_3,Long-term health condition - Don't know / can't say
q30_recoded_4,Long-term health condition - I would prefer not to say
q31base,"Long-term physical or mental health conditions, disabilities or illnesses - Total responses"
Q31_1,"Long-term physical or mental health conditions, disabilities or illnesses - Alzheimer's disease or other cause of dementia"
Q31_3,"Long-term physical or mental health conditions, disabilities or illnesses - Arthritis or ongoing problem with back and joints"
Q31_21,"Long-term physical or mental health conditions, disabilities or illnesses - Autism or autism spectrum condition"
Q31_5,"Long-term physical or mental health conditions, disabilities or illnesses - Blindness or partial sight"
Q31_4,"Long-term physical or mental health conditions, disabilities or illnesses - A breathing condition such as asthma or COPD"
Q31_6,"Long-term physical or mental health conditions, disabilities or illnesses - Cancer (diagnosis or treatment in the last 5 years)"
Q31_7,"Long-term physical or mental health conditions, disabilities or illnesses - Deafness or hearing loss"
Q31_8,"Long-term physical or mental health conditions, disabilities or illnesses - Diabetes"
Q31_2,"Long-term physical or mental health conditions, disabilities or illnesses - A heart condition, such as angina or atrial fibrillation"
Q31_10,"Long-term physical or mental health conditions, disabilities or illnesses - High blood pressure"
Q31_11,"Long-term physical or mental health conditions, disabilities or illnesses - Kidney or liver disease"
Q31_19,"Long-term physical or mental health conditions, disabilities or illnesses - A learning disability"
Q31_14,"Long-term physical or mental health conditions, disabilities or illnesses - A mental health condition"
Q31_15,"Long-term physical or mental health conditions, disabilities or illnesses - A neurological condition, such as epilepsy"
Q31_20,"Long-term physical or mental health conditions, disabilities or illnesses - A stroke (which affects your day-to-day life)"
Q31_16,"Long-term physical or mental health conditions, disabilities or illnesses - Another long-term condition or disability"
Q31_17,"Long-term physical or mental health conditions, disabilities or illnesses - I do not have any long-term conditions"
Q93base,Conditions reduce your ability to carry out your day-to-day activities - Total responses
Q93_1,"Conditions reduce your ability to carry out your day-to-day activities - Yes, a lot"
Q93_2,"Conditions reduce your ability to carry out your day-to-day activities - Yes, a little"
Q93_3,"Conditions reduce your ability to carry out your day-to-day activities - No, not at all"
Q93_12,"Conditions reduce your ability to carry out your day-to-day activities - Summary result - Yes (Combined 'yes, a lot' and 'yes, a little' responses, to be used with total base)"
Q94base,Confidence can manage any issues arising from your condition (or conditions) - Total responses
Q94_1234base,Confidence can manage any issues arising from your condition (or conditions) - Base for summary result - Total responses excluding 'don't know'
Q94_1,Confidence can manage any issues arising from your condition (or conditions) - Very confident
Q94_2,Confidence can manage any issues arising from your condition (or conditions) - Fairly confident
Q94_3,Confidence can manage any issues arising from your condition (or conditions) - Not very confident
Q94_4,Confidence can manage any issues arising from your condition (or conditions) - Not at all confident
Q94_5,Confidence can manage any issues arising from your condition (or conditions) - Don’t know
Q94_12,"Confidence can manage any issues arising from your condition (or conditions) - Summary result - Confident (Combined 'very confident' and 'fairly confident' responses, to be used with base excluding 'don't know')"
q32base,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - Total responses"
Q32_123base,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - Base for summary result - Total responses excluding 'don't know / can't say' and 'I haven't needed support'"
q32_1,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - Yes, definitely"
q32_2,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - Yes, to some extent"
q32_3,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - No"
q32_4,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - I haven't needed support"
q32_5,"Last 12 months, enough support from local services/organisations to help manage long-term conditions - Don't know / can't say"
q32_12,"Last 12 months, had enough support from local services/organisations to help manage long-term conditions - Summary result - Yes (Combined 'yes, definitely' and 'yes, to some extent' responses, to be used with base excluding codes 4 and 5)."
Q96base,Had a conversation with a healthcare professional from GP practice to discuss what is important  when managing condition (or conditions) - Total responses
Q96_1,Had a conversation with a healthcare professional from GP practice to discuss what is important  when managing condition (or conditions) - Yes
Q96_2,Had a conversation with a healthcare professional from GP practice to discuss what is important  when managing condition (or conditions) - No
Q96_3,Had a conversation with a healthcare professional from GP practice to discuss what is important  when managing condition (or conditions) - Don't know
Q97base,Agreed a plan with a healthcare professional from your GP practice to manage your condition (or conditions) - Total responses
Q97_1,Agreed a plan with a healthcare professional from your GP practice to manage your condition (or conditions) - Yes
Q97_2,Agreed a plan with a healthcare professional from your GP practice to manage your condition (or conditions) - No
Q97_3,Agreed a plan with a healthcare professional from your GP practice to manage your condition (or conditions) - Don't know
Q98base,How helpful plan is in managing your condition (or conditions) - Total responses
Q98_1234base,How helpful plan is in managing your condition (or conditions) - Base for summary result - Total responses excluding 'don't know'
Q98_1,How helpful plan is in managing your condition (or conditions) - Very helpful
Q98_2,How helpful plan is in managing your condition (or conditions) - Fairly helpful
Q98_3,How helpful plan is in managing your condition (or conditions) - Not very helpful
Q98_4,How helpful plan is in managing your condition (or conditions) - Not at all helpful
Q98_5,How helpful plan is in managing your condition (or conditions) - Don't know
Q98_12,"How helpful plan is in managing your condition (or conditions) - Summary result - Helpful (Combined 'very helpful' and 'fairly helpful' responses, to be used with base excluding 'don't know')"
q66base,Contacted an NHS service when they wanted to see a GP but GP practice was closed in last 12 months - Total responses
Q66_1,"Contacted an NHS service when they wanted to see a GP but GP practice was closed in last 12 months - Yes, for myself"
Q66_2,"Contacted an NHS service when they wanted to see a GP but GP practice was closed in last 12 months - Yes, for someone else"
Q66_3,Contacted an NHS service when they wanted to see a GP but GP practice was closed in last 12 months - No
Q109base,"Considering all of the services you contacted, which of the following happened on that occasion - Total responses"
Q109_1,"Considering all of the services you contacted, which of the following happened on that occasion - I called an NHS helpline, such as NHS 111"
Q109_2,"Considering all of the services you contacted, which of the following happened on that occasion - I used an online NHS service (including NHS 111 online)"
Q109_3,"Considering all of the services you contacted, which of the following happened on that occasion - I used a non-NHS online service, or looked online for information"
Q109_4,"Considering all of the services you contacted, which of the following happened on that occasion - A healthcare professional called me back"
Q109_5,"Considering all of the services you contacted, which of the following happened on that occasion - A healthcare professional visited me at home"
Q109_6,"Considering all of the services you contacted, which of the following happened on that occasion - I went to A&E"
Q109_7,"Considering all of the services you contacted, which of the following happened on that occasion - I spoke to a pharmacist"
Q109_8,"Considering all of the services you contacted, which of the following happened on that occasion - I used another general practice service"
Q109_9,"Considering all of the services you contacted, which of the following happened on that occasion - I contacted or used another NHS service"
Q109_10,"Considering all of the services you contacted, which of the following happened on that occasion - I contacted or used another non-NHS service"
Q109_11,"Considering all of the services you contacted, which of the following happened on that occasion - Can’t remember"
q68base,Feeling on how quickly received care or advice when contacted NHS services when wanted to see GP but GP practice was closed - Total responses
Q68_12base,Feeling on how quickly received care or advice when contacted NHS services when wanted to see GP but GP practice was closed - Base for summary result - Total responses excluding 'don't know / doesn't apply'
