Variable,Description
Q34c_1,State of health today...Usual Activities - I have no problems with performing my usual activities
Q34c_2,State of health today...Usual Activities - I have some problems with performing my usual activities
Q34c_3,State of health today...Usual Activities - I am unable to perform my usual activities
Q34dbase,State of health today...Pain/Discomfort - total responses
Q34d_1,State of health today...Pain/Discomfort - I have no pain or discomfort
Q34d_2,State of health today...Pain/Discomfort - I have moderate pain or discomfort
Q34d_3,State of health today...Pain/Discomfort - I have extreme pain or discomfort
Q34ebase,State of health today...Anxiety/Depression - total responses
Q34e_1,State of health today...Anxiety/Depression - I am not anxious or depressed
Q34e_2,State of health today...Anxiety/Depression - I am moderately anxious or depressed
Q34e_3,State of health today...Anxiety/Depression - I am extremely anxious or depressed
Q35base,Activities limited today due to recent illness or injury - total responses
Q35_1,"Activities limited today due to recent illness or injury - Yes, limited a lot"
Q35_2,"Activities limited today due to recent illness or injury - Yes, limited a little"
Q35_3,Activities limited today due to recent illness or injury - No
Q35_12,Activities limited today due to recent illness or injury - Yes (total)
Q36base,Know how to contact an out-of-hours GP service - total responses
Q36_1,Know how to contact an out-of-hours GP service - Yes
Q36_2,Know how to contact an out-of-hours GP service - No
Q37base,Tried to call an out-of-hours GP service in past 6 months...total responses
Q37_1,"Tried to call an out-of-hours GP service in past 6 months...Yes, for myself"
Q37_2,"Tried to call an out-of-hours GP service in past 6 months...Yes, for someone else"
Q37_3,Tried to call an out-of-hours GP service in past 6 months...No
Q37_12,Tried to call an out-of-hours GP service in past 6 months...Yes (total)
Q38base,Ease of contacting the out-of-hours GP service by telephone - total responses
Q38_1,Ease of contacting the out-of-hours GP service by telephone - Very easy
Q38_2,Ease of contacting the out-of-hours GP service by telephone - Fairly easy
Q38_3,Ease of contacting the out-of-hours GP service by telephone - Not very easy
Q38_4,Ease of contacting the out-of-hours GP service by telephone - Not at all easy
Q38_5,Ease of contacting the out-of-hours GP service by telephone - Don't know / didn't make contact
Q38_12,Ease of contacting the out-of-hours GP service by telephone - Easy (total)
Q39base,Impression of how quickly care from out-of-hours GP service received - total responses
Q39_1,Impression of how quickly care from out-of-hours GP service received - It was about right
Q39_2,Impression of how quickly care from out-of-hours GP service received - It took too long
Q39_3,Impression of how quickly care from out-of-hours GP service received - Don't know / doesn't apply
Q40base,Confidence and trust in out-of-hours clinician - total responses
Q40_1,"Confidence and trust in out-of-hours clinician - Yes, definitely"
Q40_2,"Confidence and trust in out-of-hours clinician - Yes, to some extent"
Q40_3,"Confidence and trust in out-of-hours clinician - No, not at all"
Q40_4,Confidence and trust in out-of-hours clinician - Don't know / can't say
Q40_12,Confidence and trust in out-of-hours clinician - Yes (total)
Q41base,Overall experience of out-of-hours GP services - total responses
Q41_1,Overall experience of out-of-hours GP services - Very good
Q41_2,Overall experience of out-of-hours GP services - Fairly good
Q41_3,Overall experience of out-of-hours GP services - Neither good nor poor
Q41_4,Overall experience of out-of-hours GP services - Fairly poor
Q41_5,Overall experience of out-of-hours GP services - Very poor
Q41_12,Overall experience of out-of-hours GP services - Good (total)
Q42base,When did you last try to get an NHS dental appointment for yourself? - total responses
Q42_1,When did you last try to get an NHS dental appointment for yourself? - In the last 3 months
Q42_2,When did you last try to get an NHS dental appointment for yourself? - Between 3 and 6 months ago
Q42_3,When did you last try to get an NHS dental appointment for yourself? - Between 6 months and a year ago
Q42_4,When did you last try to get an NHS dental appointment for yourself? - Between 1 and 2 years ago
Q42_5,When did you last try to get an NHS dental appointment for yourself? - More than 2 years ago
Q42_6,When did you last try to get an NHS dental appointment for yourself? - I have never tried to get an NHS dental appointment
Q43base,Was appointment with a dental practice you had been to before for NHS dental care? - total responses
Q43_1,Was appointment with a dental practice you had been to before for NHS dental care? - Yes
Q43_2,Was appointment with a dental practice you had been to before for NHS dental care? - No
Q43_3,Was appointment with a dental practice you had been to before for NHS dental care? - Can't remember
Q44base,Were you successful in getting an NHS dental appointment? - total responses
Q44_1,Were you successful in getting an NHS dental appointment? - Yes
Q44_2,Were you successful in getting an NHS dental appointment? - No
Q44_3,Were you successful in getting an NHS dental appointment? - Can't remember
Q45base,Overall experience of NHS dental services - total responses
Q45_1,Overall experience of NHS dental services - Very good
Q45_2,Overall experience of NHS dental services - Fairly good
Q45_3,Overall experience of NHS dental services - Neither good nor poor
Q45_4,Overall experience of NHS dental services - Fairly poor
Q45_5,Overall experience of NHS dental services - Very poor
Q46base,Why haven’t you tried to get an NHS dental appointment in the last two years? - total responses
Q46_1,Why haven’t you tried to get an NHS dental appointment in the last two years? - I haven't needed to visit a dentist
Q46_2,Why haven’t you tried to get an NHS dental appointment in the last two years? - I no longer have any natural teeth
Q46_3,Why haven’t you tried to get an NHS dental appointment in the last two years? - I haven't had time to visit a dentist
Q46_4,Why haven’t you tried to get an NHS dental appointment in the last two years? - I don't like going to the dentist
Q46_5,Why haven’t you tried to get an NHS dental appointment in the last two years? - I didn't think I could get an NHS dentist
Q46_6,Why haven’t you tried to get an NHS dental appointment in the last two years? - I'm on a waiting list for an NHS dentist
Q46_7,Why haven’t you tried to get an NHS dental appointment in the last two years? - I stayed with my dentist when they changed from NHS to private
Q46_8,Why haven’t you tried to get an NHS dental appointment in the last two years? - I prefer to go to a private dentist
Q46_9,Why haven’t you tried to get an NHS dental appointment in the last two years? - NHS dental care is too expensive
Q46_10,Why haven’t you tried to get an NHS dental appointment in the last two years? - Another reason
Q47base,Gender - total responses
Q47_1,Gender - Male
Q47_2,Gender - Female
Q48base,Age - total responses
Q48_1,Age - Under 18
Q48_2,Age - 18 to 24
Q48_3,Age - 25 to 34
Q48_4,Age - 35 to 44
Q48_5,Age - 45 to 54
Q48_6,Age - 55 to 64
Q48_7,Age - 65 to 74
Q48_8,Age - 75 to 84
Q48_9,Age - 85 or over
Q49base,Ethnic group - total responses
Q49_1,Ethnic group - White - English/Welsh/Scottish/Northern Irish/British
Q49_2,Ethnic group - White - Irish
Q49_3,Ethnic group - White - Gypsy or Irish Traveller
Q49_4,Ethnic group - White - Any other White background
Q49_5,Ethnic group - Mixed - White and Black Caribbean
Q49_6,Ethnic group - Mixed - White and Black African
Q49_7,Ethnic group - Mixed - White and Asian
Q49_8,Ethnic group - Mixed - Any other Mixed/Multiple Ethnic background
Q49_9,Ethnic group - Asian/Asian British - Indian
Q49_10,Ethnic group - Asian/Asian British - Pakistani
Q49_11,Ethnic group - Asian/Asian British - Bangladeshi
Q49_12,Ethnic group - Asian/Asian British - Chinese
Q49_13,Ethnic group - Asian/Asian British - Any other Asian background
Q49_14,Ethnic group - Black/African/Caribbean/Black British - African
Q49_15,Ethnic group - Black/African/Caribbean/Black British - Caribbean
Q49_16,Ethnic group - Black/African/Caribbean/Black British - Any other Black/African/Caribbean background
Q49_17,Ethnic group - Arab
Q49_18,Ethnic group - Any other ethnic group
Q50base,Working status - total responses
Q50_1,Working status - Full-time paid work
Q50_2,Working status - Part-time paid work
Q50_3,"Working status - Full-time education at school, college or university"
Q50_4,Working status - Unemployed
Q50_5,Working status - Permanently sick or disabled
Q50_6,Working status - Fully retired from work
Q50_7,Working status - Looking after the home
Q50_8,Working status - Doing something else
Q51base,Journey time from home to work - total responses
Q51_1,Journey time from home to work - Up to 30 minutes
Q51_2,Journey time from home to work - 31 minutes to 1 hour
Q51_3,Journey time from home to work - More than 1 hour
Q51_4,Journey time from home to work - I live on site
Q52base,Can take time away from work to see GP - total responses
Q52_1,Can take time away from work to see GP - Yes
